,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Jieshou,0,CN,2019-10-28 21:42:23,14,33.26,115.35,296.32,0.28
1,Kirakira,100,SB,2019-10-28 21:42:24,83,-10.46,161.92,299.97,4.48
2,Coahuayana,100,MX,2019-10-28 21:42:24,93,18.62,-100.35,294.86,0.44
3,San Carlos,100,NI,2019-10-28 21:42:24,2,11.12,-84.78,296.48,4.47
4,Markova,33,RU,2019-10-28 21:42:24,44,52.21,104.21,284.15,4.0
5,Abu Dhabi,19,AE,2019-10-28 21:39:41,58,24.47,54.37,301.15,2.0
6,Mus,62,FR,2019-10-28 21:42:24,93,43.74,4.2,288.15,2.1
7,Haines Junction,99,CA,2019-10-28 21:42:25,91,60.75,-137.51,267.61,4.92
8,Elliot Lake,90,CA,2019-10-28 21:42:25,100,46.37,-82.65,281.15,2.1
9,Frankfort,1,US,2019-10-28 21:42:25,100,38.2,-84.87,285.15,1.49
10,San Matias,83,BO,2019-10-28 21:42:25,60,-16.36,-58.4,300.14,2.8
11,Bundaberg,75,AU,2019-10-28 21:42:25,54,-24.87,152.35,299.82,8.2
12,Alenquer,25,BR,2019-10-28 21:41:35,94,-1.95,-54.74,298.15,1.5
13,Nacala,1,MZ,2019-10-28 21:42:26,49,-14.56,40.69,303.23,4.46
14,Laguna,90,BZ,2019-10-28 21:42:26,100,16.17,-88.94,297.15,0.68
15,Lompoc,1,US,2019-10-28 21:42:26,66,34.64,-120.46,286.15,1.5
16,Thap Than,23,TH,2019-10-28 21:42:26,67,15.46,99.89,303.74,4.1
17,Henties Bay,0,NA,2019-10-28 21:42:26,86,-22.12,14.28,284.26,0.45
18,Huejuquilla el Alto,0,MX,2019-10-28 21:42:27,80,22.63,-103.9,287.1,1.04
19,Zyryanka,100,RU,2019-10-28 21:42:27,95,65.73,150.89,259.81,1.87
20,Lavrentiya,98,RU,2019-10-28 21:42:27,65,65.58,-170.99,270.13,4.01
21,Butaritari,50,KI,2019-10-28 21:42:27,71,3.07,172.79,302.69,3.89
22,Marsa Matruh,40,EG,2019-10-28 21:42:27,82,31.35,27.25,290.15,3.6
23,Santa Isabel,1,MX,2019-10-28 21:42:28,17,32.63,-115.58,287.15,1.5
24,Belyy Yar,100,RU,2019-10-28 21:42:28,50,53.6,91.39,285.15,12.0
25,Keti Bandar,93,PK,2019-10-28 21:42:28,53,24.14,67.45,304.68,6.61
26,Kamenka,100,MD,2019-10-28 21:42:28,87,48.03,28.7,279.26,2.72
27,Porgera,98,PG,2019-10-28 21:42:28,98,-5.46,143.15,286.14,0.64
28,Yellowknife,75,CA,2019-10-28 21:39:04,85,62.45,-114.38,261.15,3.1
29,Kaitangata,0,NZ,2019-10-28 21:42:29,66,-46.28,169.85,284.26,1.79
30,Avarua,100,CK,2019-10-28 21:42:29,73,-21.21,-159.78,295.15,3.1
31,Tandalti,25,SD,2019-10-28 21:42:29,22,13.01,31.87,302.03,6.81
32,Georgetown,8,GY,2019-10-28 21:42:29,100,6.8,-58.16,297.15,2.1
33,Spring Valley,90,US,2019-10-28 21:42:29,81,41.33,-89.2,281.48,3.6
34,Alofi,100,NU,2019-10-28 21:42:30,73,-19.06,-169.92,297.15,6.2
35,Jingdezhen,0,CN,2019-10-28 21:42:30,23,29.29,117.2,298.09,2.02
36,Kodiak,90,US,2019-10-28 21:42:30,96,39.95,-94.76,273.15,5.7
37,Fortuna,75,US,2019-10-28 21:42:30,87,40.6,-124.16,280.93,0.44
38,Kamina,100,CD,2019-10-28 21:42:30,87,-8.74,25.0,294.83,2.15
39,Ilulissat,0,GL,2019-10-28 21:42:30,53,69.22,-51.1,270.15,5.1
40,Hofn,34,IS,2019-10-28 21:42:31,46,64.25,-15.21,279.57,2.9
41,Sistranda,75,NO,2019-10-28 21:42:31,75,63.73,8.83,279.82,6.2
42,Cukai,75,MY,2019-10-28 21:42:31,83,4.25,103.42,304.15,1.0
43,Tonota,52,BW,2019-10-28 21:42:31,12,-21.44,27.46,298.15,4.1
44,Lazaro Cardenas,5,MX,2019-10-28 21:42:31,37,28.39,-105.62,289.26,4.1
45,Galle,0,GN,2019-10-28 21:42:32,93,10.08,-12.83,293.74,0.19
46,Polson,90,US,2019-10-28 21:42:32,56,47.69,-114.16,264.82,4.6
47,Staryy Nadym,40,RU,2019-10-28 21:42:32,92,65.61,72.68,258.49,5.19
48,Abilene,90,US,2019-10-28 21:38:57,60,32.45,-99.73,280.37,5.7
49,Perchtoldsdorf,90,AT,2019-10-28 21:42:33,87,48.12,16.27,280.93,2.1
50,Kapaa,20,US,2019-10-28 21:39:21,69,22.08,-159.32,301.15,3.6
51,Chuy,75,UY,2019-10-28 21:42:33,96,-33.69,-53.46,293.12,3.99
52,Bayir,0,TR,2019-10-28 21:42:33,93,37.27,28.22,283.15,1.5
53,Ngara,93,ID,2019-10-28 21:42:33,62,-8.5,120.99,301.13,1.78
54,Butembo,100,CD,2019-10-28 21:42:33,89,0.12,29.29,292.32,0.52
55,Airai,96,TL,2019-10-28 21:42:34,64,-8.93,125.41,298.1,2.8
56,Tulum,40,MX,2019-10-28 21:42:34,94,20.21,-87.46,299.82,3.94
57,Colonia,75,RO,2019-10-28 21:42:34,93,46.6,23.97,283.15,1.0
58,Bobon,89,PH,2019-10-28 21:42:34,81,12.53,124.56,301.83,3.36
59,Oberstdorf,75,DE,2019-10-28 21:42:34,93,47.41,10.28,281.48,2.1
60,Guerrero Negro,0,MX,2019-10-28 21:42:35,63,27.97,-114.04,291.77,3.38
61,Bayana,33,IN,2019-10-28 21:42:35,22,26.91,77.29,305.09,1.01
62,Kaeo,100,NZ,2019-10-28 21:42:35,80,-35.1,173.78,290.37,1.34
63,Itoman,75,JP,2019-10-28 21:42:35,69,26.12,127.67,302.04,6.2
64,Dingle,70,PH,2019-10-28 21:42:35,65,11.0,122.67,303.9,1.58
65,Arraial do Cabo,93,BR,2019-10-28 21:42:36,89,-22.97,-42.02,296.71,11.28
66,Kutulik,73,RU,2019-10-28 21:42:36,76,53.35,102.79,279.25,2.61
67,Penzance,100,GB,2019-10-28 21:42:36,93,50.12,-5.53,284.26,12.9
68,Najran,0,SA,2019-10-28 21:42:36,18,17.54,44.22,291.15,1.0
69,Bairnsdale,5,AU,2019-10-28 21:42:36,35,-37.83,147.63,296.06,4.7
70,Kalmunai,100,LK,2019-10-28 21:42:37,77,7.42,81.82,300.93,5.4
71,Xai-Xai,99,MZ,2019-10-28 21:42:37,66,-25.04,33.64,296.75,6.89
72,Careiro da Varzea,55,BR,2019-10-28 21:42:37,94,-3.2,-59.81,298.15,1.0
73,Nemuro,75,JP,2019-10-28 21:42:37,58,43.32,145.57,288.15,6.7
74,Tuktoyaktuk,90,CA,2019-10-28 21:42:37,86,69.44,-133.03,272.15,7.2
75,North Bend,1,US,2019-10-28 21:42:37,87,43.41,-124.22,281.48,3.1
76,Ancud,90,CL,2019-10-28 21:42:38,87,-41.87,-73.83,282.15,5.1
77,Qaanaaq,100,GL,2019-10-28 21:42:38,78,77.48,-69.36,261.02,3.22
78,Sabang,62,PH,2019-10-28 21:42:38,80,13.8,121.11,302.59,0.89
79,Mataura,31,NZ,2019-10-28 21:42:38,61,-46.19,168.86,284.82,6.26
80,Sulmona,1,IT,2019-10-28 21:42:38,93,42.05,13.93,283.71,2.6
81,Hilton Head Island,1,US,2019-10-28 21:42:38,100,32.16,-80.75,297.59,1.82
82,Finnsnes,40,NO,2019-10-28 21:42:39,92,69.23,17.98,269.15,6.2
83,Cherskiy,0,RU,2019-10-28 21:42:39,89,68.75,161.3,252.05,2.62
84,Sibolga,100,ID,2019-10-28 21:42:39,67,1.74,98.78,301.9,1.32
85,Atambua,79,ID,2019-10-28 21:42:40,62,-9.11,124.89,301.84,3.73
86,Ryotsu,100,JP,2019-10-28 21:42:40,82,38.08,138.43,291.15,0.5
87,San Quintin,30,PH,2019-10-28 21:42:40,70,17.54,120.52,302.6,3.03
88,Esperance,68,AU,2019-10-28 21:42:40,46,-33.86,121.89,294.15,5.1
89,Magaria,75,NE,2019-10-28 21:42:40,50,13.0,8.91,299.06,2.11
90,Lufilufi,75,WS,2019-10-28 21:42:41,83,-13.87,-171.6,300.15,3.6
91,Corinto,40,CO,2019-10-28 21:42:41,88,3.17,-76.26,295.15,2.1
92,Tyssedal,0,NO,2019-10-28 21:42:41,81,60.12,6.56,275.37,0.89
93,Juneau,90,US,2019-10-28 21:38:48,93,58.3,-134.42,279.15,0.26
